Какими словами заканчивается пословица «Баба с возу…»?,кобыле легче,потехе час,мёртвому припарки,вылетишь не поймаешь
Каким словом можно охарактеризовать взгляды человека?,радикал,радиант,радиус,радий
Как называется оптическое устройство необходимое фотокамере?,объектив,негатив,позитив,мотив
Что сказано о Москве в песне из кинофильма «Девушка без адреса»?,большая-пребольшая,чужая-пречужая,святая-пресвятая,сухая-пресухая
Кого или что Том Сойер и Гек Фин принесли ночью на кладбище?,дохлую кошку,злую собаку,белую мышь,чёрную курицу
К какому типу сыров относится сулугуни?,рассольные,твёрдые,мягкие,плавленые
Как зовут жену Андрея Сергеевича Прозорова в пьесе Чехова «Три сестры»?,Наталья,Ольга,Маша,Ирина
Что было изображено на стенах Московского Кремля во время войны?,фасады домов,танки и пушки,портреты военачальников,карикатуры на Гитлера
Какой костюм по мнению Коко Шанель старит женщину больше всего?,слишком богатый,слишком бедный,слишком яркий,слишком тёмный
Какое название было дано произведению самим автором?,«Девочка с персиками»,«Лунная соната»,«Божественная комедия,«Поцелуй»
Кто был единственным шахматистом ушедшим из жизни в ранге действующего чемпиона мира?,Александр Алехин,Вильгельм Стейниц,Михаил Таль,Хосе Рауль Капабланка
Что устроил Григорий Котовский в Одесском оперном театре в день своего помилования от смертной казни?,аукцион,банкет,митинг,молебен
От чего советует на зарекаться русская пословица?,от сумы,от чумы,от зимы,от думы
Какими не бывают углы в геометрии?,кривыми,острыми,тупыми,прямыми
Что советуют парить при простуде?,ноги,мозги,овощи,веник
Каким словом заканчивается высказывание Ленина «Учение Маркса всесильно потому что оно…»?,верно,справедливо,очевидно,научно
Какой овощ отсутствует среди персонажей сказки «Приключения Чиполлино»?,баклажан,лук-порей,огурец,тыква
С чем смешивается бензин в карбюраторе автомобиля?,с воздухом,с водой,с азотом,с маслом
Чем отличаются Холмс и Ватсон в фильме «Мой нежно любимый детектив»?,это женщины,это дети,это животные,это города
